item	cond	group	plural	text	audio
001T	early	001T	sg	The actor || in the films was popular with both young and old fans	001T-early-sg.wav
002T	early	002T	sg	The apartment || with the leaks is too much for one repairman to handle	002T-early-sg.wav
003T	early	003T	sg	The argument || over the plates was presented by the leader of the group	003T-early-sg.wav
004T	early	004T	sg	The composer || of the operas was typically regarded as masterful	004T-early-sg.wav
005T	early	005T	sg	The confession || of the criminals was coerced by the shady police officers	005T-early-sg.wav
006T	early	006T	sg	The consultant || for the firms is preparing the offer for the potential buyer	006T-early-sg.wav
007T	early	007T	sg	The defect || in the cars was pricey to fix before being sold	007T-early-sg.wav
008T	early	008T	sg	The door || to the offices was painted before the start of the quarter	008T-early-sg.wav
009T	early	009T	sg	The dream || about the castles was totally forgotten by the king and queen	009T-early-sg.wav
010T	early	010T	sg	The entrance || to the laboratories is tough to find in the Psychology building	010T-early-sg.wav
011T	early	011T	sg	The garden || with the spikes is cleverly hidden behind the tall shrubs	011T-early-sg.wav
012T	early	012T	sg	The key || to the cabinets was placed by the entrance to the storage room	012T-early-sg.wav
013T	early	013T	sg	The label || on the bottles is tiny compared to previous product designs	013T-early-sg.wav
014T	early	014T	sg	The lab || with the computers is personally owned by the boss of the company	014T-early-sg.wav
015T	early	015T	sg	The letter || from the lawyers was taken to the jail house after trial	015T-early-sg.wav
016T	early	016T	sg	The map || of the creeks was treated with care by the park ranger	016T-early-sg.wav
017T	early	017T	sg	The mistake || in the programs was costing the company billions of dollars	017T-early-sg.wav
018T	early	018T	sg	The name || on the billboards is potentially visible from the highway	018T-early-sg.wav
019T	early	019T	sg	The pamphlet || from the agencies was terribly uninformative to consumers	019T-early-sg.wav
020T	early	020T	sg	The photo || of the politicians was kindly received by the general public	020T-early-sg.wav
021T	early	021T	sg	The picture || on the postcards was created by the skillful artist	021T-early-sg.wav
022T	early	022T	sg	The purpose || of the kits is to help wounded hikers mend small cuts	022T-early-sg.wav
023T	early	023T	sg	The reason || for the forts is totally unknown to the travelers	023T-early-sg.wav
024T	early	024T	sg	The record || from the singers is prominent in the world of pop music	024T-early-sg.wav
025T	early	025T	sg	The ruling || about the lots was probably ignored by the land owners	025T-early-sg.wav
026T	early	026T	sg	The scale || of the maps was posing a problem for the cartographer	026T-early-sg.wav
027T	early	027T	sg	The slogan || on the posters was picked by city council for the parade	027T-early-sg.wav
028T	early	028T	sg	The smell || of the socks was completely removed by the mother	028T-early-sg.wav
029T	early	029T	sg	The star || of the musicals was praised by the critics in the newspaper	029T-early-sg.wav
030T	early	030T	sg	The story || behind the myths was told to generations of children	030T-early-sg.wav
034T	early	034T	sg	The leader || of the gangs was being followed by the FBI for months on end	034T-early-sg.wav
037T	early	037T	sg	The assistant || for the labs is being supported by university funding	037T-early-sg.wav
038T	early	038T	sg	The courier || with the messages was expected to arrive before the office closed	038T-early-sg.wav
039T	early	039T	sg	The painting || of the mountains is a breathtaking sight to behold	039T-early-sg.wav
042T	early	042T	sg	The announcement || about the games is being broadcast on ESPN	042T-early-sg.wav
052T	early	052T	sg	The song || in the commercials has been uploaded to YouTube recently	052T-early-sg.wav
056T	early	056T	sg	The sale || of the sculptures was going to make the artist a lot of money	056T-early-sg.wav
058T	early	058T	sg	The representative || of the villages has been featured in the national newspaper	058T-early-sg.wav
066T	early	066T	sg	The logo || on the hoodies is being redesigned for the brand's relaunch	066T-early-sg.wav
067T	early	067T	sg	The doctor || for the patients has been waiting for the nurse for hours	067T-early-sg.wav
001T	late	001T	sg	The actor in the films || was popular with both young and old fans	001T-late-sg.wav
002T	late	002T	sg	The apartment with the leaks || is too much for one repairman to handle	002T-late-sg.wav
003T	late	003T	sg	The argument over the plates || was presented by the leader of the group	003T-late-sg.wav
004T	late	004T	sg	The composer of the operas || was typically regarded as masterful	004T-late-sg.wav
005T	late	005T	sg	The confession of the criminals || was coerced by the shady police officers	005T-late-sg.wav
006T	late	006T	sg	The consultant for the firms || is preparing the offer for the potential buyer	006T-late-sg.wav
007T	late	007T	sg	The defect in the cars || was pricey to fix before being sold	007T-late-sg.wav
008T	late	008T	sg	The door to the offices || was painted before the start of the quarter	008T-late-sg.wav
009T	late	009T	sg	The dream about the castles || was totally forgotten by the king and queen	009T-late-sg.wav
010T	late	010T	sg	The entrance to the laboratories || is tough to find in the Psychology building	010T-late-sg.wav
011T	late	011T	sg	The garden with the spikes || is cleverly hidden behind the tall shrubs	011T-late-sg.wav
012T	late	012T	sg	The key to the cabinets || was placed by the entrance to the storage room	012T-late-sg.wav
013T	late	013T	sg	The label on the bottles || is tiny compared to previous product designs	013T-late-sg.wav
014T	late	014T	sg	The lab with the computers || is personally owned by the boss of the company	014T-late-sg.wav
015T	late	015T	sg	The letter from the lawyers || was taken to the jail house after trial	015T-late-sg.wav
016T	late	016T	sg	The map of the creeks || was treated with care by the park ranger	016T-late-sg.wav
017T	late	017T	sg	The mistake in the programs || was costing the company billions of dollars	017T-late-sg.wav
018T	late	018T	sg	The name on the billboards || is potentially visible from the highway	018T-late-sg.wav
019T	late	019T	sg	The pamphlet from the agencies || was terribly uninformative to consumers	019T-late-sg.wav
020T	late	020T	sg	The photo of the politicians || was kindly received by the general public	020T-late-sg.wav
021T	late	021T	sg	The picture on the postcards || was created by the skillful artist	021T-late-sg.wav
022T	late	022T	sg	The purpose of the kits || is to help wounded hikers mend small cuts	022T-late-sg.wav
023T	late	023T	sg	The reason for the forts || is totally unknown to the travelers	023T-late-sg.wav
024T	late	024T	sg	The record from the singers || is prominent in the world of pop music	024T-late-sg.wav
025T	late	025T	sg	The ruling about the lots || was probably ignored by the land owners	025T-late-sg.wav
026T	late	026T	sg	The scale of the maps || was posing a problem for the cartographer	026T-late-sg.wav
027T	late	027T	sg	The slogan on the posters || was picked by city council for the parade	027T-late-sg.wav
028T	late	028T	sg	The smell of the socks || was completely removed by the mother	028T-late-sg.wav
029T	late	029T	sg	The star of the musicals || was praised by the critics in the newspaper	029T-late-sg.wav
030T	late	030T	sg	The story behind the myths || was told to generations of children	030T-late-sg.wav
034T	late	034T	sg	The leader of the gangs || was being followed by the FBI for months on end	034T-late-sg.wav
037T	late	037T	sg	The assistant for the labs || is being supported by university funding	037T-late-sg.wav
038T	late	038T	sg	The courier with the messages || was expected to arrive before the office closed	038T-late-sg.wav
039T	late	039T	sg	The painting of the mountains || is a breathtaking sight to behold	039T-late-sg.wav
042T	late	042T	sg	The announcement about the games || is being broadcast on ESPN	042T-late-sg.wav
052T	late	052T	sg	The song in the commercials || has been uploaded to YouTube recently	052T-late-sg.wav
056T	late	056T	sg	The sale of the sculptures || was going to make the artist a lot of money	056T-late-sg.wav
058T	late	058T	sg	The representative of the villages || has been featured in the national newspaper	058T-late-sg.wav
066T	late	066T	sg	The logo on the hoodies || is being redesigned for the brand's relaunch	066T-late-sg.wav
067T	late	067T	sg	The doctor for the patients || has been waiting for the nurse for hours	067T-late-sg.wav
001T	none	001T	sg	The actor in the films was popular with both young and old fans	001T-none-sg.wav
002T	none	002T	sg	The apartment with the leaks is too much for one repairman to handle	002T-none-sg.wav
003T	none	003T	sg	The argument over the plates was presented by the leader of the group	003T-none-sg.wav
004T	none	004T	sg	The composer of the operas was typically regarded as masterful	004T-none-sg.wav
005T	none	005T	sg	The confession of the criminals was coerced by the shady police officers	005T-none-sg.wav
006T	none	006T	sg	The consultant for the firms is preparing the offer for the potential buyer	006T-none-sg.wav
007T	none	007T	sg	The defect in the cars was pricey to fix before being sold	007T-none-sg.wav
008T	none	008T	sg	The door to the offices was painted before the start of the quarter	008T-none-sg.wav
009T	none	009T	sg	The dream about the castles was totally forgotten by the king and queen	009T-none-sg.wav
010T	none	010T	sg	The entrance to the laboratories is tough to find in the Psychology building	010T-none-sg.wav
011T	none	011T	sg	The garden with the spikes is cleverly hidden behind the tall shrubs	011T-none-sg.wav
012T	none	012T	sg	The key to the cabinets was placed by the entrance to the storage room	012T-none-sg.wav
013T	none	013T	sg	The label on the bottles is tiny compared to previous product designs	013T-none-sg.wav
014T	none	014T	sg	The lab with the computers is personally owned by the boss of the company	014T-none-sg.wav
015T	none	015T	sg	The letter from the lawyers was taken to the jail house after trial	015T-none-sg.wav
016T	none	016T	sg	The map of the creeks was treated with care by the park ranger	016T-none-sg.wav
017T	none	017T	sg	The mistake in the programs was costing the company billions of dollars	017T-none-sg.wav
018T	none	018T	sg	The name on the billboards is potentially visible from the highway	018T-none-sg.wav
019T	none	019T	sg	The pamphlet from the agencies was terribly uninformative to consumers	019T-none-sg.wav
020T	none	020T	sg	The photo of the politicians was kindly received by the general public	020T-none-sg.wav
021T	none	021T	sg	The picture on the postcards was created by the skillful artist	021T-none-sg.wav
022T	none	022T	sg	The purpose of the kits is to help wounded hikers mend small cuts	022T-none-sg.wav
023T	none	023T	sg	The reason for the forts is totally unknown to the travelers	023T-none-sg.wav
024T	none	024T	sg	The record from the singers is prominent in the world of pop music	024T-none-sg.wav
025T	none	025T	sg	The ruling about the lots was probably ignored by the land owners	025T-none-sg.wav
026T	none	026T	sg	The scale of the maps was posing a problem for the cartographer	026T-none-sg.wav
027T	none	027T	sg	The slogan on the posters was picked by city council for the parade	027T-none-sg.wav
028T	none	028T	sg	The smell of the socks was completely removed by the mother	028T-none-sg.wav
029T	none	029T	sg	The star of the musicals was praised by the critics in the newspaper	029T-none-sg.wav
030T	none	030T	sg	The story behind the myths was told to generations of children	030T-none-sg.wav
034T	none	034T	sg	The leader of the gangs was being followed by the FBI for months on end	034T-none-sg.wav
037T	none	037T	sg	The assistant for the labs is being supported by university funding	037T-none-sg.wav
038T	none	038T	sg	The courier with the messages was expected to arrive before the office closed	038T-none-sg.wav
039T	none	039T	sg	The painting of the mountains is a breathtaking sight to behold	039T-none-sg.wav
042T	none	042T	sg	The announcement about the games is being broadcast on ESPN	042T-none-sg.wav
052T	none	052T	sg	The song in the commercials has been uploaded to YouTube recently	052T-none-sg.wav
056T	none	056T	sg	The sale of the sculptures was going to make the artist a lot of money	056T-none-sg.wav
058T	none	058T	sg	The representative of the villages has been featured in the national newspaper	058T-none-sg.wav
066T	none	066T	sg	The logo on the hoodies is being redesigned for the brand's relaunch	066T-none-sg.wav
067T	none	067T	sg	The doctor for the patients has been waiting for the nurse for hours	067T-none-sg.wav
001T	early	001T	pl	The actor || in the films were popular with both young and old fans	001T-early-pl.wav
002T	early	002T	pl	The apartment || with the leaks are too much for one repairman to handle	002T-early-pl.wav
003T	early	003T	pl	The argument || over the plates were presented by the leader of the group	003T-early-pl.wav
004T	early	004T	pl	The composer || of the operas were typically regarded as masterful	004T-early-pl.wav
005T	early	005T	pl	The confession || of the criminals were coerced by the shady police officers	005T-early-pl.wav
006T	early	006T	pl	The consultant || for the firms are preparing the offer for the potential buyer	006T-early-pl.wav
007T	early	007T	pl	The defect || in the cars were pricey to fix before being sold	007T-early-pl.wav
008T	early	008T	pl	The door || to the offices were painted before the start of the quarter	008T-early-pl.wav
009T	early	009T	pl	The dream || about the castles were totally forgotten by the king and queen	009T-early-pl.wav
010T	early	010T	pl	The entrance || to the laboratories are tough to find in the Psychology building	010T-early-pl.wav
011T	early	011T	pl	The garden || with the spikes are cleverly hidden behind the tall shrubs	011T-early-pl.wav
012T	early	012T	pl	The key || to the cabinets were placed by the entrance to the storage room	012T-early-pl.wav
013T	early	013T	pl	The label || on the bottles are tiny compared to previous product designs	013T-early-pl.wav
014T	early	014T	pl	The lab || with the computers are personally owned by the boss of the company	014T-early-pl.wav
015T	early	015T	pl	The letter || from the lawyers were taken to the jail house after trial	015T-early-pl.wav
016T	early	016T	pl	The map || of the creeks were treated with care by the park ranger	016T-early-pl.wav
017T	early	017T	pl	The mistake || in the programs were costing the company billions of dollars	017T-early-pl.wav
018T	early	018T	pl	The name || on the billboards are potentially visible from the highway	018T-early-pl.wav
019T	early	019T	pl	The pamphlet || from the agencies were terribly uninformative to consumers	019T-early-pl.wav
020T	early	020T	pl	The photo || of the politicians were kindly received by the general public	020T-early-pl.wav
021T	early	021T	pl	The picture || on the postcards were created by the skillful artist	021T-early-pl.wav
022T	early	022T	pl	The purpose || of the kits are to help wounded hikers mend small cuts	022T-early-pl.wav
023T	early	023T	pl	The reason || for the forts are totally unknown to the travelers	023T-early-pl.wav
024T	early	024T	pl	The record || from the singers are prominent in the world of pop music	024T-early-pl.wav
025T	early	025T	pl	The ruling || about the lots were probably ignored by the land owners	025T-early-pl.wav
026T	early	026T	pl	The scale || of the maps were posing a problem for the cartographer	026T-early-pl.wav
027T	early	027T	pl	The slogan || on the posters were picked by city council for the parade	027T-early-pl.wav
028T	early	028T	pl	The smell || of the socks were completely removed by the mother	028T-early-pl.wav
029T	early	029T	pl	The star || of the musicals were praised by the critics in the newspaper	029T-early-pl.wav
030T	early	030T	pl	The story || behind the myths were told to generations of children	030T-early-pl.wav
034T	early	034T	pl	The leader || of the gangs were being followed by the FBI for months on end	034T-early-pl.wav
037T	early	037T	pl	The assistant || for the labs are being supported by university funding	037T-early-pl.wav
038T	early	038T	pl	The courier || with the messages were expected to arrive before the office closed	038T-early-pl.wav
039T	early	039T	pl	The painting || of the mountains are a breathtaking sight to behold	039T-early-pl.wav
042T	early	042T	pl	The announcement || about the games are being broadcast on ESPN	042T-early-pl.wav
052T	early	052T	pl	The song || in the commercials have been uploaded to YouTube recently	052T-early-pl.wav
056T	early	056T	pl	The sale || of the sculptures were going to make the artist a lot of money	056T-early-pl.wav
058T	early	058T	pl	The representative || of the villages have been featured in the national newspaper	058T-early-pl.wav
066T	early	066T	pl	The logo || on the hoodies are being redesigned for the brand's relaunch	066T-early-pl.wav
067T	early	067T	pl	The doctor || for the patients have been waiting for the nurse for hours	067T-early-pl.wav
001T	late	001T	pl	The actor in the films || were popular with both young and old fans	001T-late-pl.wav
002T	late	002T	pl	The apartment with the leaks || are too much for one repairman to handle	002T-late-pl.wav
003T	late	003T	pl	The argument over the plates || were presented by the leader of the group	003T-late-pl.wav
004T	late	004T	pl	The composer of the operas || were typically regarded as masterful	004T-late-pl.wav
005T	late	005T	pl	The confession of the criminals || were coerced by the shady police officers	005T-late-pl.wav
006T	late	006T	pl	The consultant for the firms || are preparing the offer for the potential buyer	006T-late-pl.wav
007T	late	007T	pl	The defect in the cars || were pricey to fix before being sold	007T-late-pl.wav
008T	late	008T	pl	The door to the offices || were painted before the start of the quarter	008T-late-pl.wav
009T	late	009T	pl	The dream about the castles || were totally forgotten by the king and queen	009T-late-pl.wav
010T	late	010T	pl	The entrance to the laboratories || are tough to find in the Psychology building	010T-late-pl.wav
011T	late	011T	pl	The garden with the spikes || are cleverly hidden behind the tall shrubs	011T-late-pl.wav
012T	late	012T	pl	The key to the cabinets || were placed by the entrance to the storage room	012T-late-pl.wav
013T	late	013T	pl	The label on the bottles || are tiny compared to previous product designs	013T-late-pl.wav
014T	late	014T	pl	The lab with the computers || are personally owned by the boss of the company	014T-late-pl.wav
015T	late	015T	pl	The letter from the lawyers || were taken to the jail house after trial	015T-late-pl.wav
016T	late	016T	pl	The map of the creeks || were treated with care by the park ranger	016T-late-pl.wav
017T	late	017T	pl	The mistake in the programs || were costing the company billions of dollars	017T-late-pl.wav
018T	late	018T	pl	The name on the billboards || are potentially visible from the highway	018T-late-pl.wav
019T	late	019T	pl	The pamphlet from the agencies || were terribly uninformative to consumers	019T-late-pl.wav
020T	late	020T	pl	The photo of the politicians || were kindly received by the general public	020T-late-pl.wav
021T	late	021T	pl	The picture on the postcards || were created by the skillful artist	021T-late-pl.wav
022T	late	022T	pl	The purpose of the kits || are to help wounded hikers mend small cuts	022T-late-pl.wav
023T	late	023T	pl	The reason for the forts || are totally unknown to the travelers	023T-late-pl.wav
024T	late	024T	pl	The record from the singers || are prominent in the world of pop music	024T-late-pl.wav
025T	late	025T	pl	The ruling about the lots || were probably ignored by the land owners	025T-late-pl.wav
026T	late	026T	pl	The scale of the maps || were posing a problem for the cartographer	026T-late-pl.wav
027T	late	027T	pl	The slogan on the posters || were picked by city council for the parade	027T-late-pl.wav
028T	late	028T	pl	The smell of the socks || were completely removed by the mother	028T-late-pl.wav
029T	late	029T	pl	The star of the musicals || were praised by the critics in the newspaper	029T-late-pl.wav
030T	late	030T	pl	The story behind the myths || were told to generations of children	030T-late-pl.wav
034T	late	034T	pl	The leader of the gangs || were being followed by the FBI for months on end	034T-late-pl.wav
037T	late	037T	pl	The assistant for the labs || are being supported by university funding	037T-late-pl.wav
038T	late	038T	pl	The courier with the messages || were expected to arrive before the office closed	038T-late-pl.wav
039T	late	039T	pl	The painting of the mountains || are a breathtaking sight to behold	039T-late-pl.wav
042T	late	042T	pl	The announcement about the games || are being broadcast on ESPN	042T-late-pl.wav
052T	late	052T	pl	The song in the commercials || have been uploaded to YouTube recently	052T-late-pl.wav
056T	late	056T	pl	The sale of the sculptures || were going to make the artist a lot of money	056T-late-pl.wav
058T	late	058T	pl	The representative of the villages || have been featured in the national newspaper	058T-late-pl.wav
066T	late	066T	pl	The logo on the hoodies || are being redesigned for the brand's relaunch	066T-late-pl.wav
067T	late	067T	pl	The doctor for the patients || have been waiting for the nurse for hours	067T-late-pl.wav
001T	none	001T	pl	The actor in the films were popular with both young and old fans	001T-none-pl.wav
002T	none	002T	pl	The apartment with the leaks are too much for one repairman to handle	002T-none-pl.wav
003T	none	003T	pl	The argument over the plates were presented by the leader of the group	003T-none-pl.wav
004T	none	004T	pl	The composer of the operas were typically regarded as masterful	004T-none-pl.wav
005T	none	005T	pl	The confession of the criminals were coerced by the shady police officers	005T-none-pl.wav
006T	none	006T	pl	The consultant for the firms are preparing the offer for the potential buyer	006T-none-pl.wav
007T	none	007T	pl	The defect in the cars were pricey to fix before being sold	007T-none-pl.wav
008T	none	008T	pl	The door to the offices were painted before the start of the quarter	008T-none-pl.wav
009T	none	009T	pl	The dream about the castles were totally forgotten by the king and queen	009T-none-pl.wav
010T	none	010T	pl	The entrance to the laboratories are tough to find in the Psychology building	010T-none-pl.wav
011T	none	011T	pl	The garden with the spikes are cleverly hidden behind the tall shrubs	011T-none-pl.wav
012T	none	012T	pl	The key to the cabinets were placed by the entrance to the storage room	012T-none-pl.wav
013T	none	013T	pl	The label on the bottles are tiny compared to previous product designs	013T-none-pl.wav
014T	none	014T	pl	The lab with the computers are personally owned by the boss of the company	014T-none-pl.wav
015T	none	015T	pl	The letter from the lawyers were taken to the jail house after trial	015T-none-pl.wav
016T	none	016T	pl	The map of the creeks were treated with care by the park ranger	016T-none-pl.wav
017T	none	017T	pl	The mistake in the programs were costing the company billions of dollars	017T-none-pl.wav
018T	none	018T	pl	The name on the billboards are potentially visible from the highway	018T-none-pl.wav
019T	none	019T	pl	The pamphlet from the agencies were terribly uninformative to consumers	019T-none-pl.wav
020T	none	020T	pl	The photo of the politicians were kindly received by the general public	020T-none-pl.wav
021T	none	021T	pl	The picture on the postcards were created by the skillful artist	021T-none-pl.wav
022T	none	022T	pl	The purpose of the kits are to help wounded hikers mend small cuts	022T-none-pl.wav
023T	none	023T	pl	The reason for the forts are totally unknown to the travelers	023T-none-pl.wav
024T	none	024T	pl	The record from the singers are prominent in the world of pop music	024T-none-pl.wav
025T	none	025T	pl	The ruling about the lots were probably ignored by the land owners	025T-none-pl.wav
026T	none	026T	pl	The scale of the maps were posing a problem for the cartographer	026T-none-pl.wav
027T	none	027T	pl	The slogan on the posters were picked by city council for the parade	027T-none-pl.wav
028T	none	028T	pl	The smell of the socks were completely removed by the mother	028T-none-pl.wav
029T	none	029T	pl	The star of the musicals were praised by the critics in the newspaper	029T-none-pl.wav
030T	none	030T	pl	The story behind the myths were told to generations of children	030T-none-pl.wav
034T	none	034T	pl	The leader of the gangs were being followed by the FBI for months on end	034T-none-pl.wav
037T	none	037T	pl	The assistant for the labs are being supported by university funding	037T-none-pl.wav
038T	none	038T	pl	The courier with the messages were expected to arrive before the office closed	038T-none-pl.wav
039T	none	039T	pl	The painting of the mountains are a breathtaking sight to behold	039T-none-pl.wav
042T	none	042T	pl	The announcement about the games are being broadcast on ESPN	042T-none-pl.wav
052T	none	052T	pl	The song in the commercials have been uploaded to YouTube recently	052T-none-pl.wav
056T	none	056T	pl	The sale of the sculptures were going to make the artist a lot of money	056T-none-pl.wav
058T	none	058T	pl	The representative of the villages have been featured in the national newspaper	058T-none-pl.wav
066T	none	066T	pl	The logo on the hoodies are being redesigned for the brand's relaunch	066T-none-pl.wav
067T	none	067T	pl	The doctor for the patients have been waiting for the nurse for hours	067T-none-pl.wav
